dataset,seed,severity,method,n,top1,top2,mrr,mean_rank
air_quality,1,1.0,supervised_channel_ae_only_hgb,350,0.5885714285714285,0.7571428571428571,0.7351564168930054,1.9571428298950195
air_quality,1,1.25,supervised_channel_hra_ae_hgb,350,0.7314285714285714,0.8714285714285714,0.8358129262924194,1.531428575515747
air_quality,1,1.25,supervised_channel_ae_only_hgb,350,0.6485714285714286,0.8085714285714286,0.7807890772819519,1.708571434020996
air_quality,1,1.5,supervised_channel_hra_ae_hgb,350,0.7428571428571429,0.8942857142857142,0.8467891216278076,1.468571424484253
air_quality,1,1.5,supervised_channel_ae_only_hgb,350,0.6685714285714286,0.86,0.8016462326049805,1.6142857074737549
air_quality,1,1.75,supervised_channel_hra_ae_hgb,350,0.7657142857142857,0.9085714285714286,0.8609524369239807,1.4257142543792725
air_quality,1,1.75,supervised_channel_ae_only_hgb,350,0.7257142857142858,0.8742857142857143,0.8327687382698059,1.545714259147644
air_quality,2,0.75,supervised_channel_hra_ae_hgb,350,0.5971428571428572,0.7314285714285714,0.7310272455215454,2.039999961853028
air_quality,2,0.75,supervised_channel_ae_only_hgb,350,0.5657142857142857,0.6971428571428572,0.7052109241485596,2.220000028610229
air_quality,2,1.0,supervised_channel_hra_ae_hgb,350,0.6028571428571429,0.7771428571428571,0.7484592199325562,1.854285717010498
air_quality,2,1.0,supervised_channel_ae_only_hgb,350,0.5514285714285714,0.7542857142857143,0.7144047617912292,2.037142753601074
air_quality,2,1.25,supervised_channel_hra_ae_hgb,350,0.6857142857142857,0.7914285714285715,0.7981224656105042,1.6714285612106323
air_quality,2,1.25,supervised_channel_ae_only_hgb,350,0.6171428571428571,0.7657142857142857,0.7545578479766846,1.874285697937012
air_quality,2,1.5,supervised_channel_hra_ae_hgb,350,0.7028571428571428,0.84,0.8151972889900208,1.600000023841858
air_quality,2,1.5,supervised_channel_ae_only_hgb,350,0.6657142857142857,0.82,0.7892516851425171,1.7257143259048462
air_quality,2,1.75,supervised_channel_hra_ae_hgb,350,0.7285714285714285,0.8742857142857143,0.8359524011611938,1.5
air_quality,2,1.75,supervised_channel_ae_only_hgb,350,0.6828571428571428,0.84,0.8042244911193848,1.645714282989502
